Crop,Soil_Type,N_Level,P_Level,K_Level,pH,Fertilizer_Name,N_Amount,P_Amount,K_Amount,Tips
Rice,Clayey,Low,Medium,High,6.5,Urea,50,0,0,"Apply urea at tillering stage. Mix thoroughly with soil. Split application: 50% at planting, 50% at panicle initiation."
Rice,Clayey,Medium,Low,Medium,7.0,DAP,0,60,0,"Apply DAP at planting time. Band near roots for better absorption. Use zinc sulphate if deficiency appears."
Rice,Clayey,High,Medium,Low,7.5,MOP,0,0,40,"Apply potash at panicle initiation stage. Avoid applying near harvest time."
Rice,Loamy,Low,High,Medium,6.8,NPK,40,40,40,"Balanced NPK application. Apply basal dose at planting. Top dress at maximum tillering stage."
Rice,Loamy,Medium,Medium,Medium,7.2,Complex,30,30,30,"Apply as basal dressing. Incorporate into soil before transplanting. Follow with top dressing at booting stage."
Rice,Sandy,Low,Low,Low,6.0,Urea,60,0,0,"Split application: 25% at planting, 50% at tillering, 25% at panicle initiation. Use slow-release formula."
Rice,Sandy,Medium,Medium,Low,6.3,NPK,35,25,20,"Frequent light applications. Use controlled-release fertilizers. Add organic matter to improve retention."
Wheat,Loamy,Low,High,Medium,7.0,DAP,0,60,0,"Apply DAP as basal before sowing. Band placement near seed row. Top dress with urea at first irrigation."
Wheat,Loamy,Medium,Low,High,7.3,Urea,50,0,0,"Apply half at sowing, half at crown root initiation. Use neem-coated urea for slow release."
Wheat,Loamy,High,Medium,Low,6.8,NPK,40,40,40,"Balanced application at sowing time. Split nitrogen application for better efficiency."
Wheat,Clayey,Low,Medium,High,7.5,Urea,45,0,0,"Apply in two splits: at sowing and after first irrigation. Avoid waterlogging after application."
Wheat,Clayey,Medium,Low,Medium,7.2,MOP,0,0,35,"Apply potash at sowing time. Gypsum application may be needed in sodic soils."
Wheat,Sandy,Low,High,Medium,6.5,SSP,0,50,0,"Apply superphosphate at sowing. Use zinc sulphate if deficiency appears."
Wheat,Sandy,Medium,Medium,Low,6.8,Complex,35,35,25,"Use water-soluble fertilizers. Multiple split applications for nitrogen."
Maize,Sandy,Low,Medium,High,6.2,Urea,60,0,0,"Split application: 50% at sowing, 50% at knee-high stage. Use controlled-release formulas."
